ad_type,city,cname,day,deliver,ftype,invite,maxsal,minsal,name,refresh,type,url,uuid
f,上海,触宝,5,False,1,False,260,200,【2018暑期实习】机器学习工程师实习生,05-14,intern,https://sxsimg.xiaoyuanzhao.com/E3/85/E3F820F8D80CE3F534DCA8FDCD444285.PNG,inn_qg3lbqqw9jzx
f,珠海,网钰科技,4,False,1,False,120,100,网钰管培生 -大数据挖掘 （技术部）,05-14,intern,https://sxsimg.xiaoyuanzhao.com/C5/01/C53610F2A6B69A3A6855EE3F231F9701.png,inn_xe4snqe5wvgf
f,西安,绿盟科技,5,False,1,False,150,100,威胁情报和数据分析研究员实习生（西安）,05-14,intern,https://sxsimg.xiaoyuanzhao.com/B7/3F/B76F6F3AAEE77D4F083F10BF6490133F.png,inn_hdxxiru7qhgq
f,北京,百度,4,False,1,False,220,170,数据挖掘实习工程师,05-11,intern,https://sxsimg.xiaoyuanzhao.com/0A/80/0A4DB3F4159F586B0E419CCFE6A34D80.png,inn_zyepnukaulmp
f,北京,飞奔君,5,False,1,False,150,100,数据研究实习生,05-11,intern,https://sxsimg.xiaoyuanzhao.com/58/18/587B93EB8720550863CCD8691D69E918.png,inn_meprmsyg7y89
f,上海,众安保险,5,False,1,False,200,150,样本标注工程师,05-11,intern,https://sxsimg.xiaoyuanzhao.com/F1/DA/F1C1AD9841443F2D69F6522C2BF0D6DA.png,inn_cs9fchnvly69
f,北京,美兰德,4,False,1,False,150,100,数据挖掘实习生,05-11,intern,https://sxsimg.xiaoyuanzhao.com/BF/9E/BF979F917B37FCB7D8F624CE007D459E.png,inn_4rhcdj2xhxwh
f,北京,180,5,False,1,False,400,300,算法实习,05-11,intern,https://sxsimg.xiaoyuanzhao.com/17/BA/17F9F4A64A4FD613F64CA74BCB8B99BA.JPG,inn_skf3rpcn52yl
f,北京,神策数据,5,False,1,False,256,200,推荐系统研发实习生,05-11,intern,https://sxsimg.xiaoyuanzhao.com/CE/E4/CEEFCF9364AE8C0F3D5351CD430BE6E4.jpg,inn_ffigwpn114mm
f,西安,学大教育,2,False,0,False,120,100,数据分析实习生,05-11,intern,https://sxsimg.xiaoyuanzhao.com/FA/E8/FA5C01AD79169D3F2B342FCE035CF9E8.png,inn_ntzzqg3tkiok
f,北京,京东商城,5,False,1,False,125,100,结算流程风控（数据挖掘方向）,05-11,intern,https://sxsimg.xiaoyuanzhao.com/F1/92/F137C6C9BEBD0001D42B6B0A5C334A92.png,inn_fnbryyzprgi0
f,北京,联想服务,4,False,1,False,150,120,数据分析师,05-11,intern,https://sxsimg.xiaoyuanzhao.com/3B/F2/3B033346214A391B2A6EA72E861AD9F2.jpg,inn_0tbgvm3sfmgf
f,北京,智擎工业大数据,5,False,1,False,400,200,算法实习生,05-10,intern,https://sxsimg.xiaoyuanzhao.com/33/01/330A17B9E1B437770D9069E27F9F3101.png,inn_hxwyfsbijbg8
f,北京,好未来,4,False,1,False,267,180,大数据部-数据开发实习生,05-10,intern,https://sxsimg.xiaoyuanzhao.com/2F/5C/2F4150A636B91A3AC4BA52DC41E1E95C.png,inn_uo0dzx3pspj8
f,深圳,珍爱网,5,False,1,False,500,400,文本挖掘工程师-2018春招,05-10,intern,https://sxsimg.xiaoyuanzhao.com/82/25/82FFEDBAA07D82CCDD0CED8C9AABA425.png,inn_h6gb1rz5ok2p
f,武汉,交复医学,5,False,1,False,200,150,数据分析实习生,05-10,intern,https://sxsimg.xiaoyuanzhao.com/5D/93/5D64B06D26CA08307FAB0319CAAD0D93.png,inn_kqx9kwzavlh3
f,上海,迅达电梯,3,False,1,False,160,120,信息系统实习生,05-10,intern,https://sxsimg.xiaoyuanzhao.com/C8/15/C8F354046AAF23CF50997BE23E76AA15.png,inn_suza1uxfrnfp
f,北京,德勤管理咨询,5,False,1,False,140,139,数据科学实习生,05-10,intern,https://sxsimg.xiaoyuanzhao.com/4F/C9/4F2C968FE84C577C4DCA4F97FBF07BC9.jpg,inn_7dzzpmaro2mc
f,北京,德勤管理咨询,4,False,1,False,140,139,业务分析&数据分析助理,05-10,intern,https://sxsimg.xiaoyuanzhao.com/4F/C9/4F2C968FE84C577C4DCA4F97FBF07BC9.jpg,inn_m38ixojtnye3
f,广州,火烈鸟网络,3,False,1,False,180,110,数据挖掘工程师实习生,05-10,intern,https://sxsimg.xiaoyuanzhao.com/65/26/6573D4AD145EF9590DD65C3B4EA6C426.png,inn_zwpqtnjgezc3
f,深圳,Webot,4,False,1,False,150,100,数据标注员实习生,05-10,intern,https://sxsimg.xiaoyuanzhao.com/76/89/766AE65EC60388383B7AD45608A29D89.png,inn_ijlsmqam4ybg
f,北京,正邦设计,5,False,1,False,150,80,sem助理,05-10,intern,https://sxsimg.xiaoyuanzhao.com/34/0B/34BF84497BF15F2FDFA1409D4995EA0B.png,inn_mzgzyqr8gi1t
f,北京,蓦然认知/小蓦机器人,4,False,1,False,350,300,数据挖掘实习生,05-10,intern,https://sxsimg.xiaoyuanzhao.com/BF/99/BF714F87C7B1AB7FB393C07A1360D899.png,inn_xjhiqw97x41v
f,北京,蓦然认知/小蓦机器人,5,False,1,False,350,300,知识图谱研发工程师,05-10,intern,https://sxsimg.xiaoyuanzhao.com/BF/99/BF714F87C7B1AB7FB393C07A1360D899.png,inn_plv42my8dzhu
