monthSales,originalPrice,praiseContent,price,productName,productSpuId,productStatus,promotionInfo,wmPoiId,city,province,store
0,13.8,赞0,11.8,妃子笑鲜荔枝300克.,1488769739,0,8.55折,886310632947885,沈阳,辽宁省,双果香浓郁
3,9.9,赞0,9.9,荔枝（妃子笑半斤）,94730176,0,,1025231350154354,沈阳,辽宁省,天天果园-水果干果
3,9.9,赞0,9.9,妃子笑荔枝【新到货】半斤装,828174873,0,,1025231350154354,沈阳,辽宁省,天天果园-水果干果
8,14,赞0,14,妃子笑,1522484376,0,,1011766627691167,沈阳,辽宁省,Ta的茶
0,12.8,赞0,12.8,妃子笑 荔枝一份 280g,833619286,0,,1045477826030539,沈阳,辽宁省,爱果果（奉天店）
4,24.09,赞0,24.09,海南妃子笑荔枝-550g,1515982223,0,,867339762457298,大连,辽宁省,大连元初食品(第五郡店)
0,58,赞0,58,妃子笑·荔枝海盐古斯,1437532912,0,,923784222647683,大连,辽宁省,林客咖啡啤酒吧（万达东市店）
0,24.09,赞0,24.09,海南妃子笑荔枝-550g,1515982241,0,,1028632964261864,大连,辽宁省,元初食品（美树日记店）
6,10.8,赞0,9.5,妃子笑荔枝（半斤）,322027601,0,8.8折,1122138697298357,大连,辽宁省,艺达水果超市
1,17.8,赞0,15.66,一级小核妃子笑荔枝空运的（半斤）,829307697,0,8.8折,1122138697298357,大连,辽宁省,艺达水果超市
0,35.8,赞0,29.71,空运一级妃子笑荔枝（斤）,814263420,0,8.3折,1122138697298357,大连,辽宁省,艺达水果超市
0,18.8,赞0,18.8,新摘妃子笑荔枝（斤）,275253583,0,,1122138697298357,大连,辽宁省,艺达水果超市
43,19.8,赞2,19.8,妃子笑荔枝 500g,1526456397,0,,1017302840520545,阜新,辽宁省,静禹精品水果零食铺
6,13.8,赞0,13.8,妃子笑小核荔枝 每斤,1539789449,0,,937622607248477,阜新,辽宁省,果蔬の店（西山店）
1,16.8,赞0,16.8,台湾 妃子笑荔枝 荔枝,1510857000,0,,1066699259429571,阜新,辽宁省,福源水果干果平价超市
0,16,赞0,16,妃子笑红茶奶盖,1032493219,0,,871441456223052,阜新,辽宁省,答案茶
5,19.8,赞0,19.8,海南 妃子笑荔枝 一盒一斤左右 盒,1469185314,0,,893818235811883,阜新,辽宁省,果爱多水果艺术馆
6,15.98,赞0,15.98,妃子笑荔枝 500g,1524304571,0,,871037729257725,阜新,辽宁省,好时光生活超市
0,38,赞0,38,妃子笑,269501308,0,,1102008185526172,阜新,辽宁省,美日鲜水果超市
3,2.5,赞0,1.99,妃子笑 荔枝饮料320ml,1455816037,0,7.96折,859063360469489,阜新,辽宁省,千喜超市
7,8,赞0,8,妃子笑,1217358584,0,,873060658856914,本溪,辽宁省,弄茶里
0,10,赞0,10,一骑红尘妃子笑,1388280471,0,,873060658856914,本溪,辽宁省,弄茶里
5,15.8,赞0,15.8,妃子笑(小核）,104160487,0,,936742138939269,本溪,辽宁省,鸿盛源水果超市
22,3,赞0,3,妃子笑荔枝汽水,1522328125,0,,890622780161056,本溪,辽宁省,冰城外婆铁锅焖面
4,21,赞1,21,妃子笑,1533469187,0,,1038816331699399,辽阳,辽宁省,茶颜观色
0,10,赞0,10,妃子笑,340350964,0,,1103790596953053,辽阳,辽宁省,乐滋比萨
0,9.5,赞0,9.5,妃子笑,1153914423,0,,893624962296813,辽阳,辽宁省,掌上披萨
110,12.8,赞0,8.8,妃子笑荔枝/500g,1522277218,0,6.88折,961494035500509,鞍山,辽宁省,新隆嘉（孟泰公园店）
7,12,赞0,12,妃子笑荔枝,1522521624,0,,1025660846881891,丹东,辽宁省,金宝生鲜超市（金地广场13店）
0,18,赞0,18,妃子笑荔枝（500g）,844821048,0,,859153554790759,丹东,辽宁省,新姐妹水果干果蔬菜
0,53.99,赞0,53.99,妃子笑荔枝   500g,1182536620,0,,1100406162739866,丹东,辽宁省,鲜果庄园（无茗水果大卖场店)
0,18,赞0,18,妃子笑荔枝 一份,1540219120,0,,957473946102475,丹东,辽宁省,乐融融果蔬精品超市（私房水果捞）
0,19,赞0,19,妃子笑芝芝,1328851823,0,,952216906139105,丹东,辽宁省,小确茶
1,16,赞1,16,妃子笑乌龙奶盖,1093557190,0,,1001188123231869,丹东,辽宁省,1314一杯会说话的茶
0,12,赞0,12,妃子笑爽爽冰,1093755871,0,,1001188123231869,丹东,辽宁省,1314一杯会说话的茶
2,12,赞0,12,妃子笑荔枝,1522306430,0,,1125020620307424,丹东,辽宁省,金宝供销超市（福民15店）
2,17.5,赞0,17.5,妃子笑 荔枝皮薄肉厚核小 甘甜,1522114983,0,,919536499974595,丹东,辽宁省,红兴水果超市（水果捞）
0,22,赞0,22,妃子笑荔枝/500g 500g,1522647753,0,,1010722950628646,丹东,辽宁省,友宜佳生活超市
56,26.8,赞0,18.8,海南妃子笑荔枝 甜 一斤,1513585845,0,7.02折,1106311742779135,锦州,辽宁省,果鲜生优质进口水果、水果捞
23,14.99,赞0,14.99,妃子笑荔枝,813066480,0,,1044863645647059,锦州,辽宁省,馨鑫干鲜水果副食超市
67,10.9,赞0,10.9,妃子笑荔枝,1538876871,0,,1077385138070548,锦州,辽宁省,香橙源生鲜超市（云飞街店）
9,12.9,赞0,12.9,妃子笑荔枝 500g,1532908481,0,,1054587451635549,锦州,辽宁省,好佳鲜生鲜超市(天成雅典店)
3,12.8,赞0,12.8,成都盛兴妃子笑荔枝小核甜,848111927,0,,1024612874891932,锦州,辽宁省,五公斤（吉祥店）
6,15,赞0,15,妃子笑荔枝,1503911139,0,,945838879716339,锦州,辽宁省,鑫果源水果干果·水果捞
4,19.8,赞0,19.8,妃子笑到了,1484463492,0,,871063499087906,锦州,辽宁省,王子美味干鲜水果
1,12.8,赞0,12.8,妃子笑,1214449754,0,,922555861972974,锦州,辽宁省,富百汇生鲜超市
6,14.9,赞0,14.9,小核妃子笑荔枝,888045244,0,,882505291952333,锦州,辽宁省,万家乐水果超市（东湖丽景店）
48,18,赞0,18,妃子笑 斤,1483207314,0,,1097326671220962,葫芦岛,辽宁省,紫梦水果超市
25,11,赞0,11,妃子笑荔枝/500g 500g,1521584722,0,,913154178582670,葫芦岛,辽宁省,葫芦岛市百货大楼生活超市
92,11.9,赞0,9.59,妃子笑荔枝1份/约400g,1535652318,0,8.06折,899513362445145,新民,辽宁省,地利生鲜（新民二店）
14,12,赞0,12,妃子笑,826038320,0,,957946392511846,新民,辽宁省,布朗熊家的13号店
3,2,赞0,2,荔枝 1颗 （妃子笑）,1461228151,0,,877995576315477,新民,辽宁省,街角小屋同学家的甜品店
12,11.8,赞0,11.8,妃子笑荔枝/500g 500g,1519489714,0,,1078978570884968,新民,辽宁省,菓源
3,15,赞0,15,妃子笑,1540858173,0,,1010104475324388,瓦房店,辽宁省,茂盛水果大全
0,14,赞0,14,妃子笑,902187806,0,,958427428816241,瓦房店,辽宁省,拾年娱乐休闲吧
11,9.9,赞0,9.9,妃子笑荔枝,1528551305,0,,905135474659016,凌源,辽宁省,硕果果蔬大卖场
1,13.5,赞0,13.5,新到 妃子笑荔枝一斤,481037329,0,,962262834620728,凌源,辽宁省,兴隆泰超市水果干果
0,7,赞0,7,妃子笑,414085205,0,,1086812591256206,凌源,辽宁省,姐弟俩土豆粉（刀削面）
0,10,赞0,9.8,妃子笑,313958839,0,9.8折,984244477267211,凌源,辽宁省,简客汉堡
0,10,赞0,10,妃子笑,492041342,0,,1105615958085317,凌源,辽宁省,简客汉堡（双圆店）
4,15,赞1,15,妃子笑荔枝/500g 500g,1526358853,0,,1116469340445526,调兵山,辽宁省,鑫每日多水果行
32,11.8,赞0,11.8,海南 妃子笑小核荔枝 500g,1497441472,0,,942639129091997,开原,辽宁省,浩源缤纷水果汇
10,17.8,赞0,17.8,精品优选 海南妃子笑荔枝 A,1539852527,0,,942639129091997,开原,辽宁省,浩源缤纷水果汇
6,14.8,赞0,14.8,妃子笑荔枝 一斤,1481955651,0,,968902854071501,开原,辽宁省,鲜四季食杂水果店
0,20,赞0,20,妃子笑,1532310466,0,,1044880825545355,开原,辽宁省,千喜鹤冷鲜肉
